VEHICLE TYPE  MODEL           YEAR  VIN NUMBER         CHASSIS(P)  CHASSIS(F)  CHASSIS(I)  CHASSIS(C)  ENGINE(P)  ENGINE(F)  ENGINE(I)  ENGINE(C)  TRANSM(P)  TRANSM(F)  TRANSM(I)  TRANSM(C)  BRAKES(P)  BRAKES(F)  BRAKES(I)  BRAKES(C)  TOTAL PASSED  TOTAL FAILED  TOTAL PROCES  TOTAL COMPLE  BUILD STATUS  WASTE
Van           Sienna          2023  MTYLLA2C5NW115090  1           1           1           0           7          0          4          2          7          0          1          5          5          0          0          4          20            1             6            11             Completed     Yes
Car           Supra           2023  KTATTC6A2NU109384  2           0           1           0           5          0          2          2          4          1          3          1          2          1          1          1          13            2             7             4             Completed     Yes
SUV           Highlander      2023  8NMUUEDA1NN122383  2           0           0           1           5          0          4          0          9          0          2          6          7          0          3          3          23            0             9            10             Completed      No
Van           Sienna          2023  8NYNNBFC8NS114727  2           0           0           1           7          0          2          4          6          1          5          1          3          2          3          1          18            3            10             7             Completed     Yes
SUV           4Runner         2023  6TMYYB6R6N4113989  2           0           1           0           5          0          1          3          9          0          3          5          6          1          3          3          22            1             8            11             Completed     Yes
Truck         Tacoma Access   2023  KTSJJDFN5N6129595  3           0           1           1           9          0          4          4         10          1          2          8          8          1          4          4          30            2            11            17             Completed     Yes
Van           Sienna          2023  6NYBBDFC7NR122993  1           1           1           0           8          0          2          3          5          2          4          2          5          0          1          3          19            3             8             8             In-process    Yes
Van           Sienna          2023  6NMJJD3C1N8102521  2           0           0           1           7          0          2          4          8          0          3          2          5          0          2          2          22            0             7             9             In-process     No
Car           Corolla         2023  5TABBA0E4N6128049  2           0           1           0           5          0          2          2          7          0          0          2          3          0          1          1          17            0             4             5             In-process     No
Car           Corolla         2023  8TBNNE6E6NN125209  2           0           0           1           5          0          3          1          5          0          2          2          3          0          0          2          15            0             5             6             Completed      No
Van           Sienna          2023  1NYHHB7C5NU130744  2           0           0           1           6          1          3          3          6          1          5          1          5          0          0          4          19            2             8             9             Completed     Yes
Car           Corolla         2023  6NALLA6E2N4119695  2           0           1           0           4          1          4          0          4          1          2          2          3          0          0          2          13            2             7             4             Completed     Yes
Car           Supra           2023  4TCBBEDA3NX108445  3           0           0           0           7          0          2          0          5          0          1          3          4          0          1          0          19            0             4             3             In-process     No
Truck         Tundra Double   2023  KNTRRB112NU130818  2           1           0           2           7          2          4          4         14          0          2          5          8          1          4          4          31            4            10            15             In-process    Yes
Truck         Tundra Crewmax  2023  JNKEEB114NC106985  3           0           0           2           8          1          3          5         12          1          4          4          8          1          5          3          31            3            12            14             In-process    Yes
SUV           Venza           2023  9TYEEA0V6NE110954  2           0           0           1           5          0          4          0          8          1          2          6          6          1          1          5          21            2             7            12             Completed     Yes
Van           Sienna          2023  VTMMMC0C5NX129826  2           0           0           1           6          2          2          3          6          1          3          3          4          1          1          3          18            4             6            10             In-process    Yes
SUV           Venza           2023  VTYRRB1V1NM116222  2           0           0           1           5          0          2          2          9          0          7          1          7          0          1          5          23            0            10             9             Completed      No
Car           Corolla         2023  9NCHHB6E2NE115056  2           0           0           1           5          0          1          3          5          0          2          2          3          0          2          0          15            0             5             6             Completed      No
Truck         Tacoma Access   2023  1NNBBBFN6NN124235  3           0           2           0           8          1          7          1         11          0          4          6          8          1          3          5          30            2            16            12             Completed     Yes
Car           Corolla         2023  3TCEEB1E4NC114516  1           1           0           1           5          0          1          3          5          0          2          2          3          0          1          1          14            1             4             7             Completed     Yes
Truck         Tacoma Access   2023  3TTDDB1N4NA130643  3           0           1           1           8          1          4          4          9          2          3          7         10          0          4          3          30            3            12            15             In-process    Yes
Car           Supra           2023  2NAKKC2A2NR130624  2           0           0           1           5          0          3          1          4          1          4          0          3          0          0          2          14            1             7             4             Completed     Yes
SUV           4Runner         2023  9TYJJA1R5N3100811  2           0           0           1           5          1          1          2          9          2          2          4          7          0          4          2          23            3             7             9             In-process    Yes
SUV           Sequoia         2023  SNMTTDFA6N2122669  2           0           0           1           5          0          2          2          7          2          4          4          7          0          3          3          21            2             9            10             Completed     Yes
Car           Camry           2023  MTAGGA1K1NZ119062  3           0           0           0           5          0          3          1          4          1          1          3          3          0          1          1          15            1             5             5             In-process    Yes
SUV           Highlander      2023  6NMGGE7A6N6102950  2           0           1           0           5          0          3          1          8          2          3          4          6          2          3          2          21            4            10             7             In-process    Yes
Truck         Tacoma Double   2023  6TSHHE6N3NK125251  3           0           2           0           9          0          1          7         10          1          4          6          7          2          3          5          29            3            10            18             Completed     Yes
Van           Sienna          2023  1TYBBC0C3NK113382  2           0           1           0           8          1          3          1          7          0          4          2          4          1          2          2          21            2            10             5             In-process    Yes
Car           Camry           2023  MTBDDB7K1NA124865  2           0           1           0           4          1          4          0          5          0          2          2          3          0          2          0          14            1             9             2             Completed     Yes
Van           Sienna          2023  5NMDDC2C9N3105492  2           0           1           0           9          1          2          1          7          0          2          4          4          1          1          3          22            2             6             8             In-process    Yes
SUV           Highlander      2023  1NMAAA3A5N6114742  2           0           1           0           5          0          3          1          8          1          3          5          6          1          2          4          21            2             9            10             Completed     Yes
SUV           Highlander      2023  MNYMMEFA2NM108412  2           0           0           1           5          0          3          1          8          1          2          6          5          2          3          3          20            3             8            11             Completed     Yes
Van           Sienna          2023  JTMHHDDC9N0119045  1           1           1           0           7          0          1          5          7          0          3          3          5          1          3          0          20            2             8             8             In-process    Yes
Truck         Tacoma Access   2023  3NLLLD3N9N9123299  3           0           1           1           5          4          5          3         11          0          9          1         14          0          0          3          33            4            15             8             In-process    Yes
Car           Corolla         2023  5TCKKD0E8NR104076  2           0           0           1           4          1          3          1          5          0          4          0          2          1          0          2          13            2             7             4             Completed     Yes
Truck         Tacoma Access   2023  6NZDDCDN8NW101096  3           0           2           0           8          3          4          2         13          0          3          5          9          0          4          4          33            3            13            11             In-process    Yes
Van           Sienna          2023  9TMEEE3C1NW129185  2           0           0           1           7          0          2          4          7          0          2          4          5          0          3          1          21            0             7            10             Completed      No
Truck         Tundra Crewmax  2023  5TSYYE616N3131426  3           0           0           2           9          0          4          4         10          1          1          9          9          0          5          3          31            1            10            18             Completed     Yes
Car           Camry           2023  3NAUUC3K3N9109310  2           0           1           0           7          1          1          0          5          0          3          1          3          0          1          1          17            1             6             2             In-process    Yes
Car           Corolla         2023  SNCLLA0E8NN119562  3           0           0           0           5          0          1          3          4          1          2          2          3          0          2          0          15            1             5             5             In-process    Yes
Car           Supra           2023  9NCBBB0A7NU117579  2           0           1           0           6          0          1          2          6          1          0          2          2          1          0          2          16            2             2             6             In-process    Yes
Truck         Tacoma Double   2023  KTLMMDFN2NA109711  3           0           0           2           9          0          4          4         10          1          3          7          7          2          6          2          29            3            13            15             Completed     Yes
Van           Sienna          2023  2NMVVE3C4N7118439  2           0           1           0           7          0          4          2          7          0          2          4          5          0          1          3          21            0             8             9             Completed      No
Van           Sienna          2023  MTMAAE3C6N0100660  2           0           0           1           7          0          2          4          8          0          2          3          5          0          3          1          22            0             7             9             In-process     No
Car           Supra           2023  4NBEEC3A3NA106592  2           0           0           1           6          0          1          2          7          0          0          2          3          0          1          1          18            0             2             6             In-process     No
Van           Sienna          2023  9TMGGD0C4NS114665  2           0           0           1           7          0          4          2          8          1          2          2          4          1          0          4          21            2             6             9             In-process    Yes
Car           Prius           2023  5NCVVA3U5N6112601  2           1           0           0           6          0          0          3          5          0          2          2          2          1          1          1          15            2             3             6             In-process    Yes
Car           Corolla         2023  6NCDDADE7N0105643  2           0           0           1           4          1          2          2          5          0          1          3          3          0          0          2          14            1             3             8             Completed     Yes
Car           Camry           2023  8TBRRD7K2N8128509  2           0           0           1           5          0          1          3          5          0          3          1          3          0          1          1          15            0             5             6             Completed      No
Truck         Tundra Crewmax  2023  SNNRRB217NM113715  3           0           2           0           9          0          3          5         10          1          5          5          8          1          4          4          30            2            14            14             Completed     Yes
SUV           4Runner         2023  KNYLLA3R3N9113139  2           0           1           0           5          0          2          2          6          3          6          2          6          1          3          3          19            4            12             7             Completed     Yes
Truck         Tacoma Access   2023  3NPEEB3N1NZ128478  3           0           1           1           9          0          4          4         13          2          1          5          9          0          3          5          34            2             9            15             In-process    Yes
Van           Sienna          2023  8NMTTAFC6N3123850  2           0           0           1           7          0          4          2          6          1          3          3          6          1          2          0          21            2             9             6             In-process    Yes
Car           Corolla         2023  1NBTTC7E8NW114491  2           0           1           0           5          0          2          2          5          0          2          2          4          0          1          0          16            0             6             4             In-process     No
SUV           Sequoia         2023  5NYKKA1A6N3126065  2           0           1           0           4          1          0          4          7          2          5          3          7          0          3          3          20            3             9            10             Completed     Yes
SUV           Venza           2023  3TMHHD7V1NX100952  2           0           0           1           4          1          3          1          9          0          2          6          7          0          3          3          22            1             8            11             Completed     Yes
Car           Prius           2023  8TCFFE0U7NE118501  2           0           1           0           5          1          2          1          5          0          2          2          3          0          2          0          15            1             7             3             In-process    Yes
Truck         Tacoma Double   2023  9TSPPD1N8NZ102940  3           0           0           2           9          0          4          4         10          1          3          7          9          0          6          2          31            1            13            15             Completed     Yes
Van           Sienna          2023  5NYRRE2C6N7101561  2           0           1           0           7          0          4          2          6          2          3          2          6          1          1          1          21            3             9             5             In-process    Yes
Car           Camry           2023  8NBNND6K4N5118783  2           0           1           0           5          0          1          3          5          0          1          3          4          0          1          0          16            0             4             6             In-process     No
Truck         Tacoma Double   2023  JNKTTBFN9NM131577  3           0           1           1           9          1          5          2         11          2          4          4          9          2          3          3          32            5            13            10             In-process    Yes
Van           Sienna          2023  2NYFFA7C8N6115503  2           0           0           1           5          3          4          1          7          0          3          3          6          1          1          1          20            4             8             6             In-process    Yes
Car           Camry           2023  5NANND3K7N4117333  1           1           0           1           5          0          2          2          5          0          1          3          3          0          0          2          14            1             3             8             Completed     Yes
Car           Supra           2023  3NBJJB0A3NW123311  2           0           1           0           5          0          0          4          5          0          1          3          3          0          0          2          15            0             2             9             Completed      No
Truck         Tundra Double   2023  4TSHHA715N6101156  3           0           2           0           8          1          5          3         10          1          7          3          8          1          5          3          29            3            19             9             Completed     Yes
Van           Sienna          2023  5NMYYD7C6NX113915  2           0           1           0           9          0          3          1          7          0          4          2          3          2          0          4          21            2             8             7             In-process    Yes
Van           Sienna          2023  8NMPPD7C9NM105733  2           0           0           1           9          0          3          1          7          2          2          2          4          2          1          2          22            4             6             6             In-process    Yes
Van           Sienna          2023  VTYNNBDC7NK118051  2           0           1           0           6          1          3          3          7          1          2          3          7          0          1          1          22            2             7             7             In-process    Yes
Truck         Tundra Crewmax  2023  1NGLLA311NS114391  3           0           0           2           8          1          3          5         10          4          4          3          7          2          3          5          28            7            10            15             In-process    Yes
Car           Prius           2023  MTCSSE6U7NN127609  2           0           1           0           2          3          4          0          5          1          1          2          3          1          1          0          12            5             7             2             In-process    Yes
Van           Sienna          2023  8TYFFBFC7NU125851  2           0           0           1           6          1          5          1          5          2          1          5          5          0          3          1          18            3             9             8             Completed     Yes
Truck         Tundra Double   2023 4TDELLB818NA104550  3           0           0           2           8          1          3          5         11          0          8          2          9          1          5          2          31            2            16            11             In-process    Yes
SUV           4Runner         2023  6NMYYBDR8NE120796  1           1           0           1           4          1          0          4         11          1          3          2          8          0          2          3          24            3             5            10             In-process    Yes
SUV           Sequoia         2023  2TMHHC1A1NC127686  2           0           0           1           5          0          1          3          9          0          3          5          6          1          4          2          22            1             8            11             Completed     Yes
SUV           Highlander      2023  VNYVVE0A3NC111921  1           1           1           0           5          0          2          2          9          0          6          2          7          0          2          4          22            1            11             8             Completed     Yes
Truck         Tacoma Double   2023  3NPJJA6N1NW132040  2           1           2           0           9          0          7          1         10          1          8          2          9          0          3          5          30            2            20             8             Completed     Yes
Truck         Tundra Crewmax  2023 9TDEVVE217NS104693  2           1           1           1           7          2          4          4         11          0          6          4          8          1          4          4          28            4            15            13             Completed     Yes
Van           Sienna          2023  1TYSSADC3N7104064  2           0           1           0           6          1          0          6          9          0          0          4          5          0          2          2          22            1             3            12             In-process    Yes
Van           Sienna          2023  VTMTTA7C6N9107432  1           1           0           1           6          1          3          3          9          0          2          2          5          0          3          1          21            2             8             7             In-process    Yes
Van           Sienna          2023  9TMEEC8C7NM103591  2           0           1           0           7          0          4          2          6          1          5          1          5          0          3          1          20            1            13             4             Completed     Yes
Van           Sienna          2023  JNMPPD0C1N5100122  1           1           1           0           7          0          3          3          9          0          4          0          4          1          2          2          21            2            10             5             In-process    Yes
Car           Prius           2023  MNCDDB6U8NS124742  2           0           1           0           4          2          2          1          3          3          0          3          3          0          2          0          12            5             5             4             In-process    Yes
Truck         Tacoma Double   2023  VTNPPBFN5N0130192  3           0           0           2          12          0          2          3         11          0          7          3          8          1          2          6          34            1            11            14             In-process    Yes
Car           Supra           2023  4TBGGDFA6N2126656  2           0           1           0           5          0          0          4          4          1          2          2          2          1          1          1          13            2             4             7             Completed     Yes
Van           Sienna          2023  9TYNNC6C4N2125978  2           0           0           1           7          0          4          2          7          0          0          6          5          0          3          1          21            0             7            10             Completed      No
Truck         Tundra Double   2023  1TBSSA111N5117175  3           0           2           0           7          2          4          4         10          3          3          5         10          1          3          3          30            6            12            12             In-process    Yes
SUV           Sequoia         2023  2NMNNE2A9N0108759  3           0           0           0           5          0          1          3          9          0          4          4          7          0          2          4          24            0             7            11             In-process     No
SUV           4Runner         2023  4TMFFB8R2NZ109166  3           0           0           0           4          1          2          2          9          0          4          4          6          2          1          4          22            3             7            10             In-process    Yes
Truck         Tacoma Access   2023 9NDEUUB6N1N9107532  3           0           0           2          10          0          6          1         11          0          4          6          7          2          6          2          31            2            16            11             In-process    Yes
Van           Sienna          2023  2NYKKC7C3NN113528  2           0           0           1           7          0          2          4          6          1          2          4          5          0          1          3          20            1             5            12             Completed     Yes
Truck         Tundra Double   2023  3NZJJC317N7118522  3           0           1           1           9          0          5          3          9          3          5          4          8          1          3          5          29            4            14            13             In-process    Yes
Van           Sienna          2023  5NYTTD1C9N2114322  2           0           1           0           7          0          5          1          7          0          2          4          4          2          1          2          20            2             9             7             In-process    Yes
Car           Corolla         2023  2TBHHA0E5N8117918  2           0           1           0           5          0          3          1          5          0          2          2          3          0          0          2          15            0             6             5             Completed      No
SUV           Sequoia         2023  2TMJJB7A5NS104201  2           0           1           0           4          1          1          3          8          1          3          5          5          2          2          4          19            4             7            12             Completed     Yes
Truck         Tacoma Double   2023  5THDDC2N2NA118071  3           0           2           0          11          0          2          4         11          0          5          5          9          0          6          2          34            0            15            11             In-process     No
Car           Prius           2023  4NAJJEDU7NU119751  3           0           0           0           5          0          0          4          5          0          2          2          2          1          1          1          15            1             3             7             In-process    Yes
Van           Sienna          2023  9NMHHB0C2N9129864  1           1           1           0           7          0          2          4          6          1          3          3          5          0          2          2          19            2             8             9             Completed     Yes
Car           Prius           2023  STCJJB1U5N3122430  2           0           0           1           5          0          1          3          6          0          2          1          4          0          1          0          17            0             4             5             In-process     No
Van           Sienna          2023  9NYRRE7C9NS126878  2           0           1           0           6          1          3          3          8          0          1          4          4          1          0          4          20            2             5            11             In-process    Yes
Truck         Tacoma Double   2023  JNNAAC0N2N9109318  4           0           0           1          13          2          2          0          7          4          6          4          9          0          4          4          33            6            12             9             In-process    Yes
SUV           Venza           2023  KTYVVB8V1NK126728  1           1           0           1           5          0          3          1          8          1          5          3          7          1          2          3          21            3            10             8             In-process    Yes
Van           Sienna          2023  KNMMMA7C8NM125580  3           0           0           0           7          0          5          1          8          0          2          3          6          0          2          1          24            0             9             5             In-process     No
Truck         Tacoma Access   2023  4TNHHADN7NS104563  3           0           1           1           9          0          3          5         10          1          5          5         11          1          5          0          33            2            14            11             In-process    Yes
Car           Camry           2023  9NCVVA0K9N1119355  1           1           0           1           4          1          1          3          5          0          1          3          4          0          1          0          14            2             3             7             In-process    Yes
Van           Sienna          2023  5NYYYDFC4N4116375  2           0           0           1           7          0          3          3          5          2          2          4          5          0          4          0          19            2             9             8             Completed     Yes
SUV           Sequoia         2023  1NYTTD6A8NN104727  2           0           0           1           5          0          2          2          9          0          4          4          7          0          3          3          23            0             9            10             Completed      No
Car           Camry           2023  2TBEECDK4N8109068  1           1           0           1           5          0          2          2          5          0          3          1          2          1          2          0          13            2             7             4             Completed     Yes
Truck         Tundra Crewmax  2023  1NZPPC615NZ119689  3           0           1           1          10          1          3          3         10          1          4          6          9          0          6          2          32            2            14            12             In-process    Yes
SUV           4Runner         2023  4TMGGC6R4NM109251  2           0           1           0           6          0          0          3          8          2          3          4          6          1          1          5          22            3             5            12             In-process    Yes
Truck         Tundra Crewmax  2023 JNDEUUA611NE108490  3           0           0           2           9          0          4          4         11          0          7          3         12          0          0          5          35            0            11            14             In-process     No
SUV           Highlander      2023  SNMJJEFA9NE116531  2           0           0           1           5          1          1          2          9          0          5          3          7          2          2          2          23            3             8             8             In-process    Yes
Truck         Tacoma Double   2023  STHRRD2N5N8126264  3           0           1           1           9          0          3          5         12          3          3          3          9          0          3          5          33            3            10            14             In-process    Yes
Van           Sienna          2023  STYRRBFC7NE103211  3           0           0           0           9          0          1          3          7          0          3          3          5          0          1          3          24            0             5             9             In-process     No
Van           Sienna          2023  2TMHHE7C9N3109711  2           0           0           1           7          0          2          4          6          1          1          5          4          1          1          3          19            2             4            13             Completed     Yes
SUV           Venza           2023  5TMGGA2V3N7103935  2           0           0           1           5          0          3          1          8          1          7          1          6          1          5          1          21            2            15             4             Completed     Yes
Car           Camry           2023  3TCGGC2K9N7115804  2           0           1           0           5          0          0          4          6          0          2          1          3          0          1          1          16            0             4             6             In-process     No
SUV           4Runner         2023  VNMRRDDR4N8126250  2           0           1           0           7          0          0          2          9          0          3          5          7          0          5          1          25            0             9             8             In-process     No
SUV           Sequoia         2023  MTYNNE3A5NC126205  3           0           0           0           5          0          2          2          8          1          7          1          7          0          5          1          23            1            14             4             In-process    Yes
Truck         Tundra Crewmax  2023  6NHLLE115NK103621  3           0           0           2           9          0          5          3         11          0          9          1          7          2          5          3          30            2            19             9             Completed     Yes
Van           Sienna          2023  SNMRRC3C6NK126000  2           0           0           1           6          1          4          2          8          1          1          3          5          0          3          1          21            2             8             7             In-process    Yes
Car           Supra           2023  5TCRRB1A5NX131202  2           0           0           1           5          0          2          2          3          2          2          2          3          0          1          1          13            2             5             6             Completed     Yes
Van           Sienna          2023  1NMVVD7C5NK111775  2           0           0           1           8          0          4          1          5          2          5          1          5          0          0          4          20            2             9             7             In-process    Yes
Van           Sienna          2023  3NMDDA3C7N7126488  1           1           0           1           6          1          2          4          7          0          4          2          5          0          2          2          19            2             8             9             Completed     Yes
SUV           Highlander      2023  2NMTTD8A3NR117555  2           0           0           1           4          1          3          1          9          0          3          5          7          0          3          3          22            1             9            10             Completed     Yes
Van           Sienna          2023  9NMUUAFC2N3126762  2           0           1           0           5          2          4          2          7          0          2          4          5          2          1          1          19            4             8             7             In-process    Yes
Truck         Tundra Crewmax  2023  SNPRRC216N7108320  4           1           0           0           8          1          6          2          9          2          7          3         11          0          5          1          32            4            18             6             In-process    Yes
SUV           4Runner         2023  2TYHHE3R4N1127310  2           0           1           0           4          1          2          2          7          3          1          6          6          1          3          3          19            5             7            11             In-process    Yes
SUV           Venza           2023  2NYUUCFV3N3117059  2           0           1           0           5          1          3          0          9          0          5          3          7          1          3          2          23            2            12             5             In-process    Yes
SUV           Highlander      2023  KNYUUA8A4NU124880  2           0           0           1           4          1          1          3          9          0          4          4          7          0          3          3          22            1             8            11             Completed     Yes
Car           Prius           2023  9TARRE3U9N4125034  2           0           1           0           4          1          2          2          4          1          3          1          3          0          1          1          13            2             7             4             Completed     Yes
Truck         Tacoma Double   2023  VNWHHC6N1NN106966  5           0           0           0           7          2          3          5         10          1          5          5          8          1          5          3          30            4            13            13             In-process    Yes
Truck         Tundra Crewmax  2023  4TLJJE617N3119640  3           0           1           1           8          1          1          7         10          1          4          6          9          0          1          7          30            2             7            21             Completed     Yes
SUV           Highlander      2023  MNYYYA7A9N0106972  2           0           0           1           6          1          1          1          8          1          4          4          7          0          3          3          23            2             8             9             In-process    Yes
Truck         Tundra Double   2023  9TZLLB618N2110776  3           1           1           0           8          1          4          4         10          1          3          7          8          1          4          4          29            4            12            15             In-process    Yes
SUV           Sequoia         2023  6NMNND8A9NW113910  2           0           1           0           4          2          0          3         11          1          2          3          6          1          4          2          23            4             7             8             In-process    Yes
Truck         Tacoma Double   2023  2TSAAE0N8NE122129  4           0           0           1           8          1          4          4         12          0          3          6         10          0          4          3          34            1            11            14             In-process    Yes
Truck         Tacoma Access   2023  KTGMMA1N5NX131975  3           1           0           1          10          1          1          5         11          1          4          5          8          1          5          3          32            4            10            14             In-process    Yes
SUV           Venza           2023  KNYAAC6V9NE129566  2           0           1           0           4          1          0          4          9          0          5          3          6          1          5          1          21            2            11             8             Completed     Yes
Van           Sienna          2023  JTMRRD1C6N8123813  2           0           1           0           8          1          2          2          7          0          2          4          5          0          2          2          22            1             7             8             In-process    Yes
Truck         Tacoma Double   2023  9NZKKD3N7N8100738  3           1           1           0           8          1          2          6         10          1          3          7         11          0          4          2          32            3            10            15             In-process    Yes
Car           Prius           2023  JNBGGC1U5NU102635  2           0           1           0           6          0          2          1          5          0          2          2          3          0          1          1          16            0             6             4             In-process     No
Car           Camry           2023  1TBSSA8K5NX108138  2           0           0           1           5          0          2          2          5          0          3          1          3          0          0          2          15            0             5             6             Completed      No
SUV           Sequoia         2023  KNMUUCDA1N1124910  2           0           0           1           4          1          2          2          7          2          2          6          8          2          2          1          21            5             6            10             In-process    Yes
Truck         Tacoma Access   2023  MNLLLA7N4N9117073  2           1           0           2           8          1          3          5         11          2          4          4          8          1          3          5          29            5            10            16             In-process    Yes
SUV           Highlander      2023  5NYEED7A7N5129950  2           0           0           1           4          1          2          2          7          2          4          4          6          1          3          3          19            4             9            10             Completed     Yes
Car           Corolla         2023  8NBDDBFE9N0107826  2           0           1           0           4          1          3          1          5          0          2          2          2          1          1          1          13            2             7             4             Completed     Yes
Car           Prius           2023  4TBKKE1U4NC123427  2           1           0           0           4          1          0          4          5          0          3          1          3          0          0          2          14            2             3             7             In-process    Yes
Car           Supra           2023  9TANNDDA3NR112628  2           0           1           0           5          0          1          3          5          0          3          1          3          0          1          1          15            0             6             5             Completed      No
Truck         Tundra Double   2023  8TBJJC011NX106542  4           1           0           0           8          1          3          5         10          1          5          5          9          0          4          4          31            3            12            14             In-process    Yes
Van           Sienna          2023  1TYFFE7C9NR131132  2           0           1           0           7          0          3          3          6          1          1          5          5          0          2          2          20            1             7            10             Completed     Yes
Truck         Tacoma Double   2023   VNPPE7N2NX114492  3           0           2           0           8          1          5          3         11          0          6          4         11          2          2          2          33            3            15             9             In-process    Yes
SUV           Highlander      2023  6TYRRD1A7N8116633  1           1           1           0           6          0          2          1          9          2          3          3          9          0          0          4          25            3             6             8             In-process    Yes
Car           Corolla         2023  4TAYYB7E7NE127710  2           0           1           0           7          0          2          0          4          1          3          1          3          0          0          2          16            1             6             3             In-process    Yes
SUV           Sequoia         2023  1NMLLAFA2N5127560  2           0           0           1           5          0          4          0          8          1          6          2          6          1          3          3          21            2            13             6             Completed     Yes
Van           Sienna          2023  9NMBBDDC4NN131705  2           0           0           1           7          1          4          1          6          1          1          5          8          1          0          0          23            3             5             7             In-process    Yes
SUV           Highlander      2023  2TYTTCFA6N2116598  2           0           0           1           5          0          1          3          8          1          1          7          9          1          1          2          24            2             3            13             In-process    Yes
Truck         Tacoma Double   2023  2TLRRB7N2N7106741  3           0           1           1           9          0          3          5         11          0          6          4         10          1          2          4          33            1            12            14             In-process    Yes
SUV           Sequoia         2023  MNMUUC1A2NW108902  3           0           0           0           5          1          2          1          7          2          5          3          6          1          2          4          21            4             9             8             In-process    Yes
Truck         Tacoma Access   2023  2NTSSD2N7NE127293  3           0           2           0           9          0          5          3          9          2          5          5          8          1          6          2          29            3            18            10             Completed     Yes
SUV           Highlander      2023  5NMDDB1A8N3109852  1           1           0           1           4          1          2          2         14          0          2          1          7          0          2          4          26            2             6             8             In-process    Yes
Van           Sienna          2023  JNYSSEDC2NK128714  2           0           1           0           7          0          5          1          7          0          1          5          7          0          1          1          23            0             8             7             In-process     No
SUV           Sequoia         2023  KTYLLB7A3N7127576  1           1           0           1           4          1          2          2          9          0          5          3          6          1          2          4          20            3             9            10             Completed     Yes
Car           Corolla         2023  5NBGGC2E7NS107096  2           0           0           1           5          0          1          3          5          0          2          2          2          1          1          1          14            1             4             7             Completed     Yes
Truck         Tundra Double   2023  6NLAAB015N6122033  3           0           0           2           9          0          1          7         11          0          6          4         12          0          4          1          35            0            11            14             In-process     No
Van           Sienna          2023  8TYMMCDC5N7130166  2           0           0           1           5          2          2          4          6          1          4          2          4          1          3          1          17            4             9             8             Completed     Yes
Truck         Tacoma Double   2023  MTWMMB3N7NC122848  3           0           0           2          10          0          3          4         10          2          3          6          9          0          3          5          32            2             9            17             In-process    Yes
Truck         Tacoma Double   2023  JTSRRB3N9N5116450  4           0           1           0           8          1          5          3         11          1          4          5         10          0          4          3          33            2            14            11             In-process    Yes
Van           Sienna          2023  1TYSSD1C9NK132342  3           0           0           0           9          0          2          2          5          2          5          1          5          0          1          3          22            2             8             6             In-process    Yes
Car           Camry           2023  JNBPPE2K4N0123706  2           0           1           0           5          0          2          2          4          1          2          2          3          1          0          1          14            2             5             5             In-process    Yes
Van           Sienna          2023  4NYYYD8C9NE121196  2           0           1           0           7          0          5          1          6          1          1          5          4          1          3          1          19            2            10             7             Completed     Yes
Van           Sienna          2023  1TYKKDFC8NM108945  2           0           0           1           7          0          4          2          5          2          3          3          5          0          4          0          19            2            11             6             Completed     Yes
Truck         Tacoma Access   2023 SNDEPPD0N4NU127153  3           0           0           2           9          1          3          4         10          1          4          6          8          1          6          2          30            3            13            14             In-process    Yes
Van           Sienna          2023  MTYDDCFC5N6110671  1           1           1           0           7          0          2          4          7          0          2          4          5          0          2          2          20            1             7            10             Completed     Yes
SUV           Sequoia         2023  6TMTTA7A6N7131297  2           0           1           0           4          1          1          3          9          1          5          2          7          0          2          4          22            2             9             9             In-process    Yes
Truck         Tacoma Double   2023  MTKNNA0N1N7115734  3           0           1           1          10          0          4          3         11          1          2          7          9          0          5          3          33            1            12            14             In-process    Yes
Truck         Tacoma Double   2023  9TWNND2N8NN112239  3           0           1           1           9          0          5          3         11          0          7          3          6          3          2          6          29            3            15            13             Completed     Yes
Truck         Tacoma Access   2023  JNZGGC3N8N1112454  3           0           1           1           9          0          4          4         14          2          2          3          8          1          4          4          34            3            11            12             In-process    Yes
SUV           Sequoia         2023  MTMGGE1A7N5129146  3           0           0           0           3          2          2          2          8          3          3          3          7          0          3          3          21            5             8             8             In-process    Yes
SUV           Sequoia         2023  MNYBBCFA4N9102515  3           0           0           0           4          1          2          2         12          0          4          1          7          0          2          4          26            1             8             7             In-process    Yes
Van           Sienna          2023  MNMKKE1C8NZ115131  2           0           1           0           6          1          4          2          7          0          4          2          4          1          2          2          19            2            11             6             Completed     Yes
